Link+AF8-ID,Time,Moving+AF8-Average+AF8-throughput,Instantaneous+AF8-throughput,Time+AF8-average+AF8-throughput
3,138446001.2,0.584743447,0.63424,0.580943662
3,138446002.2,0.584748008,0.64688,0.580943662
3,138446002.3,0.584754075,0.66368,0.580943662
3,138451000.3,0.584743135,0.69184,0.580943662
3,138451000.4,0.584754807,0.72416,0.580943662
3,138461000.4,0.584725921,0.52016,0.580943662
3,138461000.6,0.584740769,0.56128,0.580943662
3,138486000.1,0.584639602,0.30272,0.580943662
3,138486000.2,0.584645494,0.31904,0.580943662
3,138486001.1,0.584649649,0.33056,0.580943662
3,138486001.2,0.58465531,0.34624,0.580943662
3,138486002.2,0.584659292,0.35728,0.580943662
3,138486002.3,0.58466478,0.37248,0.580943662
3,138491000.2,0.584651883,0.3952,0.580943662
3,138491000.4,0.584661587,0.38976,0.580943662
3,138501000.2,0.584626998,0.2912,0.580943662
3,138501000.3,0.584636124,0.28832,0.580943662
3,138506001.1,0.584656082,0.36976,0.580943662
3,138506001.7,0.584698648,0.48768,0.580943662
3,138506003.1,0.584769629,0.68432,0.580943662
3,138506004.1,0.584842112,0.88512,0.580943662
3,138511000.9,0.584854744,0.90048,0.580943662
3,138511001.4,0.584889974,0.99808,0.580943662
3,138521000.3,0.584860345,1.03296,0.580943662
3,138521000.5,0.584874436,1.072,0.580943662
3,138526000.1,0.584857485,1.08352,0.580943662
3,138526000.2,0.584863144,1.0992,0.580943662
3,138526001.1,0.584867471,1.1112,0.580943662
3,138526001.2,0.584873304,1.12736,0.580943662
3,138526002.2,0.584878151,1.1408,0.580943662
3,138526002.3,0.584884503,1.1584,0.580943662
3,138551000.3,0.584789715,1.03552,0.580943662
3,138551000.5,0.584801955,1.04416,0.580943662
3,138551001.4,0.584809342,1.06464,0.580943662
3,138551001.6,0.584818234,1.08928,0.580943662
3,138566000.1,0.584759609,0.28208,0.580943662
3,138566000.2,0.584765786,0.2992,0.580943662
3,138566001.1,0.584769939,0.31072,0.580943662
3,138566001.3,0.584775596,0.3264,0.580943662
3,138566002.2,0.584780269,0.33936,0.580943662
3,138566002.3,0.584786446,0.35648,0.580943662
3,138581000.2,0.584731874,0.22032,0.580943662
3,138581000.4,0.584742091,0.24864,0.580943662
3,138606001.3,0.584683601,0.27008,0.580943662
3,138606002,0.584732081,0.40448,0.580943662
3,138606002.7,0.584765843,0.49808,0.580943662
3,138606003.4,0.584801105,0.59584,0.580943662
3,138611000.2,0.584788566,0.61952,0.580943662
3,138611000.4,0.584798607,0.64736,0.580943662
3,138611001.3,0.584808588,0.67504,0.580943662
3,138611001.5,0.584820073,0.70688,0.580943662
3,138611002.9,0.584860179,0.81808,0.580943662
3,138611003.4,0.58490179,0.93344,0.580943662
3,138611003.9,0.584906059,0.94528,0.580943662
3,138611004.5,0.584911828,0.96128,0.580943662
3,138611004.9,0.58491627,0.9736,0.580943662
3,138611005.5,0.584922212,0.99008,0.580943662
3,138611005.9,0.584926308,1.00144,0.580943662
3,138611006.5,0.584931904,1.01696,0.580943662
3,138631000.2,0.584856085,0.95328,0.580943662
3,138631000.4,0.584866125,0.95696,0.580943662
3,138646000.1,0.584807062,0.94032,0.580943662
3,138646000.2,0.584812774,0.95616,0.580943662
3,138646001.1,0.584816463,0.9664,0.580943662
3,138646001.2,0.584821656,0.9808,0.580943662
3,138646002.1,0.584825922,0.99264,0.580943662
3,138646002.3,0.584831691,1.00864,0.580943662
3,138661000.2,0.584774435,0.56928,0.580943662
3,138661000.3,0.584781935,0.5664,0.580943662
3,138661001.2,0.5847907,0.56288,0.580943662
3,138661001.4,0.584800969,0.56368,0.580943662
3,138686000.1,0.58469994,0.1824,0.580943662
3,138686000.2,0.584705824,0.19872,0.580943662
3,138686001.1,0.584710319,0.2112,0.580943662
3,138686001.2,0.584716318,0.22784,0.580943662
3,138686002.2,0.584721448,0.24208,0.580943662
3,138686002.3,0.584728081,0.26048,0.580943662
3,138706001.2,0.584687204,0.30096,0.580943662
3,138706001.8,0.584732131,0.4256,0.580943662
3,138706002.9,0.584783458,0.568,0.580943662
3,138706003.6,0.584836286,0.71456,0.580943662
3,138711000.2,0.584823409,0.72064,0.580943662
3,138711000.4,0.584833098,0.72672,0.580943662
3,138711001.6,0.584864236,0.76032,0.580943662
3,138711002.1,0.584896878,0.85088,0.580943662
3,138721000.5,0.584872714,0.9008,0.580943662
3,138721000.8,0.584892205,0.95488,0.580943662
3,138726000.1,0.584874991,0.9656,0.580943662
3,138726000.2,0.584880353,0.98048,0.580943662
3,138726001.1,0.584884963,0.99328,0.580943662
3,138726001.2,0.584891075,1.01024,0.580943662
3,138726002.1,0.584894935,1.02096,0.580943662
3,138726002.3,0.584900298,1.03584,0.580943662
3,138731000.3,0.584890355,1.06672,0.580943662
